Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #4861
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),22.50
Room Temp (deg C),25.74
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.014
=====,=====
Time (s), Temperature (C)
0.00,22.50
60.00,22.50
120.00,22.51
180.00,22.51
240.00,22.52
300.00,22.52
315.00,22.56
330.00,23.06
345.00,23.80
360.00,24.55
375.00,25.21
390.00,25.75
405.00,26.17
420.00,26.49
435.00,26.74
450.00,26.92
465.00,27.06
480.00,27.16
540.00,27.35
600.00,27.40
660.00,27.38
720.00,27.39
780.00,27.38
840.00,27.38
900.00,27.38
960.00,27.38
1020.00,27.37
1080.00,27.37
